season_name;week;census_date;Location;species;ad_male_count;ad_female_count;ad_unk_count;juv_male_count;juv_female_count;juv_unk_count;pup_mle_count;pup_female_count;pup_unk_count;unk_unk_count;notes;Status
1997/98;6;16-01-1998;Loberia;Leopard seal;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;verified
1997/98;6;16-01-1998;Loberia;Leopard seal;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;verified
1998/99;4;02-01-1999;Loberia;Leopard seal;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;verified
1998/99;4;02-01-1999;Loberia;Leopard seal;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;verified
2000/01;12;09-02-2001;Loberia;Leopard seal;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;verified
2000/01;12;09-02-2001;Loberia;Leopard seal;0;0;1;NA;NA;NA;NA;NA;NA;NA;NA;verified
2000/01;13;17-02-2001;Loberia;Leopard seal;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;verified
2000/01;13;17-02-2001;Loberia;Leopard seal;1;0;0;NA;NA;NA;NA;NA;NA;NA;NA;verified
2002/03;4;23-11-2002;Papua;Crabeater seal;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;verified
2002/03;4;23-11-2002;Papua;Crabeater seal;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;verified
2002/03;4;23-11-2002;Papua;Elephant seal;0;0;NA;0;0;NA;0;0;0;1;NA;verified
2002/03;4;23-11-2002;Papua;Elephant seal;0;0;NA;0;0;NA;0;0;1;0;NA;verified
2002/03;4;23-11-2002;Papua;Leopard seal;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;verified
2002/03;4;23-11-2002;Papua;Leopard seal;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;verified
2003/04;1;28-12-2003;Loberia;Leopard seal;0;0;0;0;0;0;NA;NA;NA;NA;NA;verified
2003/04;1;28-12-2003;Loberia;Leopard seal;0;0;0;0;0;0;NA;NA;NA;NA;NA;verified
2003/04;2;06-01-2004;Loberia;Leopard seal;0;0;0;0;0;0;NA;NA;NA;NA;NA;verified
2003/04;2;06-01-2004;Loberia;Leopard seal;0;0;0;0;0;0;NA;NA;NA;NA;NA;verified
2003/04;3;11-01-2004;Loberia;Leopard seal;0;0;0;0;0;0;NA;NA;NA;NA;NA;verified
2003/04;3;11-01-2004;Loberia;Leopard seal;0;0;0;0;0;0;NA;NA;NA;NA;NA;verified
2003/04;4;18-01-2004;Loberia;Leopard seal;0;0;0;0;0;0;NA;NA;NA;NA;NA;verified
2003/04;4;18-01-2004;Loberia;Leopard seal;0;0;0;0;0;0;NA;NA;NA;NA;NA;verified
2003/04;5;26-01-2004;Loberia;Leopard seal;0;1;0;0;0;0;NA;NA;NA;NA;NA;verified
2003/04;5;26-01-2004;Loberia;Leopard seal;0;0;1;0;0;0;NA;NA;NA;NA;NA;verified
2003/04;6;02-02-2004;Loberia;Leopard seal;0;0;1;0;0;0;NA;NA;NA;NA;NA;verified
2003/04;6;02-02-2004;Loberia;Leopard seal;0;0;0;0;0;0;NA;NA;NA;NA;NA;verified
2003/04;7;08-02-2004;Loberia;Leopard seal;0;0;0;0;0;0;NA;NA;NA;NA;NA;verified
2003/04;7;08-02-2004;Loberia;Leopard seal;0;0;0;0;0;0;NA;NA;NA;NA;NA;verified
2003/04;8;16-02-2004;Loberia;Leopard seal;0;0;0;0;0;0;NA;NA;NA;NA;NA;verified
2003/04;8;16-02-2004;Loberia;Leopard seal;0;0;0;0;0;0;NA;NA;NA;NA;NA;verified
