season_name;week;census_date;num_records;season_week_duplicate;corrected?
1997/98;1;10-12-1997;60;;
1997/98;2;18-12-1997;68;;
1997/98;3;24-12-1997;56;;
1997/98;4;01-01-1997;40;TRUE;TYPO
1997/98;4;01-01-1998;40;TRUE;TYPO
1997/98;5;08-01-1997;36;TRUE;TYPO
1997/98;5;08-01-1998;36;TRUE;TYPO
1997/98;6;16-01-1998;84;;
1997/98;7;22-01-1998;68;;
1997/98;8;29-01-1998;76;;
1998/99;1;10-12-1998;72;;
1998/99;2;17-12-1998;56;;
1998/99;3;24-12-1998;64;;
1998/99;4;01-01-1999;16;TRUE;Typo
1998/99;4;02-01-1999;48;TRUE;Typo
1998/99;5;07-01-1999;64;;
1998/99;6;14-01-1999;44;;
1998/99;7;21-01-1999;48;;
1998/99;8;28-01-1999;48;;
1998/99;9;04-02-1999;76;;
1998/99;10;11-02-1999;52;;
1998/99;11;18-02-1999;52;;
1999/00;1;06-12-1999;60;;
1999/00;2;13-12-1999;68;;
1999/00;3;20-12-1999;60;;
1999/00;4;27-12-1999;68;;
1999/00;5;03-01-2000;56;;
1999/00;6;10-01-2000;68;;
1999/00;7;18-01-2000;42;;
1999/00;8;24-01-2000;33;;
1999/00;9;31-01-2000;33;;
1999/00;10;07-02-2000;54;;
1999/00;11;14-02-2000;33;;
2000/01;1;24-11-2000;68;;
2000/01;2;01-12-2000;52;;
2000/01;3;08-12-2000;60;;
2000/01;4;15-12-2000;48;;
2000/01;5;22-12-2000;48;TRUE;Two days census
2000/01;5;23-12-2000;16;TRUE;Two days census
2000/01;6;29-12-2000;92;;
2000/01;7;01-01-2001;15;TRUE;Typo
2000/01;7;05-01-2001;45;TRUE;Typo
2000/01;8;12-01-2001;72;;
2000/01;9;19-01-2001;80;;
2000/01;10;26-01-2001;84;;
2000/01;11;03-02-2001;68;;
2000/01;12;09-02-2001;68;;
2000/01;13;17-02-2001;32;;
2001/02;1;08-12-2001;44;;
2001/02;2;15-12-2001;12;TRUE;Two days census
2001/02;2;16-12-2001;36;TRUE;Two days census
2001/02;3;22-12-2001;56;;
2001/02;4;28-12-2001;56;;
2001/02;5;05-01-2002;60;;
2001/02;6;12-01-2002;36;;
2001/02;7;19-01-2002;76;;
2001/02;8;26-01-2002;72;;
2001/02;9;02-02-2002;48;;
2001/02;10;09-02-2002;68;;
2001/02;11;16-02-2002;56;;
2001/02;12;23-02-2002;56;;
2002/03;1;07-11-2002;49;;
2002/03;2;10-11-2002;45;TRUE;missing Week
2002/03;2;16-11-2002;12;TRUE;missing Week
2002/03;3;16-11-2002;45;TRUE;missing Week
2002/03;3;23-11-2002;12;TRUE;missing Week
2002/03;4;23-11-2002;57;TRUE;missing Week
2002/03;4;30-11-2002;7;TRUE;missing Week
2002/03;5;30-11-2002;48;TRUE;missing Week
2002/03;5;07-12-2002;9;TRUE;missing Week
2002/03;6;07-12-2002;54;TRUE;missing Week
2002/03;6;14-12-2002;8;TRUE;missing Week
2002/03;7;14-12-2002;45;TRUE;missing Week
2002/03;7;21-12-2002;10;TRUE;missing Week
2002/03;8;21-12-2002;49;TRUE;missing Week
2002/03;8;28-12-2002;9;TRUE;missing Week
2002/03;9;28-12-2002;51;TRUE;missing Week
2002/03;9;04-01-2003;12;TRUE;missing Week
2002/03;10;04-01-2003;45;;
2003/04;1;28-12-2003;140;;
2003/04;2;06-01-2004;140;;
2003/04;3;11-01-2004;140;;
2003/04;4;18-01-2004;140;;
2003/04;5;26-01-2004;140;;
2003/04;6;02-02-2004;140;;
2003/04;7;08-02-2004;140;;
2003/04;8;16-02-2004;140;;
2004/05;1;19-12-2004;56;;
2004/05;2;26-12-2004;44;;
2004/05;3;02-01-2005;72;;
2004/05;4;11-01-2005;48;;
2004/05;5;17-01-2005;56;;
2004/05;6;23-01-2005;52;;
2004/05;7;30-01-2005;64;;
2004/05;8;08-02-2005;52;;
2004/05;9;16-02-2005;48;;
2004/05;10;24-02-2005;52;;
2004/05;11;02-03-2005;32;;
2005/06;1;27-12-2005;4;;
2005/06;2;03-01-2006;4;;
2005/06;3;10-01-2006;4;;
2005/06;4;18-01-2006;4;;
2005/06;5;24-01-2006;4;;
2005/06;6;31-01-2006;4;;
2005/06;7;07-02-2006;4;;
2005/06;8;15-02-2006;4;;
2006/07;1;05-12-2006;50;;
2006/07;2;14-12-2006;46;;
2006/07;3;21-12-2006;60;;
2006/07;4;28-12-2006;53;;
2006/07;5;04-01-2007;45;;
2006/07;6;11-01-2007;47;;
2006/07;7;18-01-2007;44;TRUE;Typo
2006/07;7;25-01-2007;9;TRUE;Typo
2006/07;8;25-01-2007;39;TRUE;Typo
2006/07;8;01-02-2007;1;TRUE;Typo
2006/07;9;01-02-2007;18;TRUE;Typo
2006/07;9;16-02-2007;1;TRUE;Typo
2006/07;10;08-02-2007;6;;
2006/07;11;16-02-2007;3;;
